"TOA5","SYNTHETIC_SITE","CR1000X","0000","CR1000X.Std","CPU:synthetic.CR1X","0000","FluxTable"
"TIMESTAMP","RECORD","LE_Avg","H_Avg","AirTC_Avg","RH_Avg","VPD_kPa_Avg","SlrW_Avg","Rn_Avg","G_Avg","WindSpd_Avg","WindDir_Avg","Rain_mm_Tot","VWC_Avg","USTAR","CO2_flux"
"TS","RN","W/m^2","W/m^2","Deg C","%","kPa","W/m^2","W/m^2","W/m^2","m/s","degrees","mm","m^3/m^3","m/s","umol/m^2/s"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg"
"2026-06-01 00:30:00","1","10.0","-2.0","10.685084207398418","75.0","0.32137163985071227","0.0","-45.0","-3.6","1.6","220.0","0.0","0.26","0.18","2.5"
"2026-06-01 01:00:00","2","10.443530514039812","-2.030560218660155","10.326667563398384","75.0","0.3137757425765465","0.0","-45.0","-3.6","1.6635487464562093","222.64553252543678","0.0","0.25988","0.18596007992385183","2.562337366692614"
"2026-06-01 01:30:00","3","10.881590973824489","-2.121618256664248","10.116996247635706","75.0","0.30940576112591617","0.0","-45.0","-3.6","1.7265726582664933","225.28191359837382","0.0","0.25976","0.1916825502692595","2.6237019796272616"
"2026-06-01 02:00:00","4","11.30877878718461","-2.2713189449774998","10.06","75.0","0.30822713182835415","0.0","-45.0","-3.6","1.788551235274919","227.90002342310703","0.0","0.25964","0.19693927420185106","2.6831362645430237"
"2026-06-01 02:30:00","5","11.719825454113423","-2.4766123597542915","10.156996247635707","75.0","0.3102352885072232","0.0","-45.0","-3.6","1.8489726105079725","230.4908054080165","0.0","0.25952000000000003","0.20152068272698567","2.7397127693021015"
"2026-06-01 03:00:00","6","12.109661543087462","-2.73331595989791","10.406667563398385","75.0","0.3154573533479445","0.0","-45.0","-3.6","1.9073377775674925","233.04529749421832","0.0","0.2594","0.20524412954423688","2.792548636470231"
"2026-06-01 03:30:00","7","12.473479212278948","-3.036199799974197","10.80508420739842","75.0","0.32395065837838777","0.0","-45.0","-3.6","1.9631647118110391","235.5546631572082","0.0","0.25928","0.20796117257901678","2.8408193800116672"
"2026-06-01 04:00:00","8","12.806791504586942","-3.3790930823955807","11.345771365940053","75.0","0.33579800858805847","0.0","-45.0","-3.6","2.0159923512838027","238.01022197425516","0.0","0.25916","0.2095634918996538","2.8837717511180134"
"2026-06-01 04:30:00","9","13.105487685202641","-3.7550098780367964","12.019819937378884","75.0","0.351099489787887","0.0","-45.0","-3.6","2.0653844045244423","240.40347965180632","0.0","0.25904","0.20998720809124516","2.9207354924039484"
