TIMESTAMP_START,TIMESTAMP_END,LE,H,TA_F,VPD_F,SW_IN_F,NETRAD,G_F_MDS,USTAR,NEE_VUT_REF,WS_F,WD,SWC_F_MDS,P_F
202606010000,202606010030,10.0,-2.0,10.685084207398418,3.2137163985071227,0.0,-45.0,-3.6,0.18,2.5,1.6,220.0,26.0,0.0
202606010030,202606010100,10.443530514039812,-2.030560218660155,10.326667563398384,3.1377574257654652,0.0,-45.0,-3.6,0.18596007992385183,2.562337366692614,1.6635487464562093,222.64553252543678,25.988,0.0
202606010100,202606010130,10.881590973824489,-2.121618256664248,10.116996247635706,3.094057611259162,0.0,-45.0,-3.6,0.1916825502692595,2.6237019796272616,1.7265726582664933,225.28191359837382,25.976,0.0
202606010130,202606010200,11.30877878718461,-2.2713189449774998,10.06,3.0822713182835413,0.0,-45.0,-3.6,0.19693927420185106,2.6831362645430237,1.788551235274919,227.90002342310703,25.964,0.0
202606010200,202606010230,11.719825454113423,-2.4766123597542915,10.156996247635707,3.102352885072232,0.0,-45.0,-3.6,0.20152068272698567,2.7397127693021015,1.8489726105079725,230.4908054080165,25.952,0.0
202606010230,202606010300,12.109661543087462,-2.73331595989791,10.406667563398385,3.154573533479445,0.0,-45.0,-3.6,0.20524412954423688,2.792548636470231,1.9073377775674925,233.04529749421832,25.94,0.0
202606010300,202606010330,12.473479212278948,-3.036199799974197,10.80508420739842,3.2395065837838777,0.0,-45.0,-3.6,0.20796117257901678,2.8408193800116672,1.9631647118110391,235.5546631572082,25.928,0.0
202606010330,202606010400,12.806791504586942,-3.3790930823955807,11.345771365940053,3.357980085880585,0.0,-45.0,-3.6,0.2095634918996538,2.8837717511180134,2.0159923512838027,238.01022197425516,25.916,0.0
202606010400,202606010430,13.105487685202641,-3.7550098780367964,12.019819937378884,3.51099489787887,0.0,-45.0,-3.6,0.20998720809124516,2.9207354924039484,2.0653844045244423,240.40347965180632,25.904,0.0
202606010430,202606010500,13.365883939231587,-4.156291453915965,12.816038969321072,3.6996057386356815,0.0,-45.0,-3.6,0.20921542892634584,2.9511337970495477,2.1109329537970516,242.72615740903206,25.892,0.0
202606010500,202606010530,13.584768804119825,-4.574762308230978,13.721147138921513,3.9247631872599236,0.0,-45.0,-3.6,0.20727892280477045,2.9744923096777933,2.15226182399098,244.97022061586708,25.880000000000003,0.0
202606010530,202606010600,13.759442776566761,-5.00189673377466,14.72,4.187116335971675,0.0,-45.0,-3.6,0.2042548921145877,2.990446528511578,2.1890296893655274,247.12790658648294,25.868000000000002,0.0
202606010600,202606010630,52.33188343342187,22.97358987622798,15.795849108714192,5.306678120423501,110.94726338704383,30.444139103189812,2.435531128255185,0.2237586100161438,2.1934855711015113,2.2209328924816196,249.19175143204836,25.856,0.0
202606010630,202606010700,85.15832826356775,43.021536398451595,16.930628594077316,6.570690191457657,219.99618833714263,104.597408069257,8.36779264554056,0.24205246927309765,0.9110752192447085,2.247707952039544,251.15461587988776,25.844,0.0
202606010700,202606010730,116.8054916041173,62.380282088696624,18.105264270019536,7.977065108144017,325.28091751032633,176.19102390702193,14.095281912561754,0.2589326623303933,-0.33484135021392947,2.269133738911092,253.00970996972464,25.832,0.0
202606010730,202606010800,146.73203183100705,80.7199022860197,19.3,9.51514702987029,424.99999999999994,244.0,19.52,0.274233600241796,-1.5229571091951521,2.285033302394738,254.7506165415799,25.82,0.0
202606010800,202606010830,174.42581201290847,97.72782684942717,20.494735729980466,11.16387830059519,517.4472146574126,306.8641059670406,24.549128477363247,0.28782583291874225,-2.632965576674365,2.2952753316112506,256.3713134340755,25.808000000000003,0.0
202606010830,202606010900,199.4126637709641,113.11416334491474,21.669371405922686,12.89047698350762,601.0407640085654,363.7077195258245,29.09661756206596,0.2996129875527736,-3.6459079169562485,2.299775239970378,257.86619431635535,25.796000000000003,0.0
202606010900,202606010930,221.26450437927096,126.61663441047033,22.804150891285808,14.649958373009275,674.3503392475499,413.55823068833394,33.084658455066716,0.3095279879535768,-4.54449680446839,2.298495863752268,259.23008808156084,25.784000000000002,0.0
202606010930,202606011000,239.6066681715787,138.00504528335912,23.88,16.385810890385336,736.1215932167728,455.5626833874055,36.44501467099244,0.31752883595291737,-5.313411521867749,2.2914477690341735,260.4582767347752,25.772000000000002,0.0
202606011000,202606011030,,147.0852054587946,24.878852861078485,18.032048300344577,785.2976026345938,489.00236979152385,39.12018958332191,0.32359424099279377,-5.93955925306089,2.2786891644276266,261.54651171355874,25.759999999999998,0.0
202606011030,202606011100,,153.70223772644118,25.78396103067893,19.51670405927298,821.0369523457081,513.3051275950816,41.06441020760653,0.3277193755596246,-6.4122981135856385,2.260325420346752,262.4910285846183,25.747999999999998,0.0
